LeadId,Converted,predicted,Score
4715,0,0,16
7132,1,1,59
8954,0,1,86
5283,0,0,20
3003,0,0,25
478,0,0,8
1352,1,1,51
3166,1,0,35
7700,0,0,26
2647,0,0,8
7420,1,1,99
4782,1,1,99
4331,1,1,86
3122,0,0,8
1033,0,0,20
3817,1,1,95
5927,0,0,2
2598,1,1,88
5504,0,0,16
3704,0,0,9
7826,0,0,18
3370,1,1,90
4717,1,1,98
3590,1,0,16
4794,1,1,79
1425,1,1,85
4562,0,0,16
1871,0,0,27
480,0,0,16
8869,0,1,78
5652,0,0,22
527,0,0,8
722,1,1,52
4328,0,0,34
3574,0,0,6
220,1,1,97
8479,1,1,76
5350,0,1,50
4022,1,1,88
2874,0,0,23
3133,0,0,8
8234,1,0,6
5007,1,1,85
7887,1,1,100
2995,0,1,66
3942,1,1,71
8874,1,1,41
5118,0,0,9
2391,0,0,32
3248,1,1,80
7256,0,0,16
1983,1,1,56
8654,0,0,8
1554,0,0,7
8394,1,0,29
3349,0,0,11
8775,0,1,81
7160,0,0,16
5027,1,1,83
1677,0,0,1
6087,0,0,8
4870,0,0,16
901,1,0,31
6033,0,0,12
2296,1,1,93
6312,0,0,16
296,0,0,11
8037,0,0,7
57,1,1,70
6125,1,1,92
8267,1,1,38
7356,1,1,95
5650,0,0,16
2676,1,1,98
6100,0,0,16
5667,0,0,10
4469,0,0,25
6480,1,1,96
295,0,0,12
2580,1,1,68
5103,0,0,4
3519,1,1,72
648,0,0,13
1370,1,0,16
9104,1,1,71
9105,1,1,47
6884,1,1,84
6361,1,1,63
3859,0,0,8
6908,0,0,19
681,0,0,11
434,0,0,25
4738,1,1,80
8356,0,0,11
1489,0,0,33
812,0,0,2
1882,1,1,83
8531,0,0,5
4161,0,0,12
3205,0,0,10
1940,0,0,20
5173,1,1,98
4981,0,0,8
1612,1,1,86
1181,0,0,6
1375,0,0,5
7263,1,0,16
3608,1,1,66
626,0,0,2
4947,1,1,97
1669,0,0,26
2112,0,1,45
5549,1,1,84
2888,1,1,81
5533,0,0,6
5247,0,0,35
84,1,0,30
5909,0,0,7
7639,0,0,4
2283,1,0,31
2887,0,0,4
8461,1,1,64
6495,0,0,2
418,0,0,13
4414,0,0,8
3131,0,0,7
2709,1,1,87
2357,1,1,100
6387,0,0,13
1366,0,0,8
293,1,1,49
7337,1,0,8
8737,0,1,38
1506,1,0,32
8339,1,1,67
6246,0,1,43
1634,0,1,38
9032,1,0,32
8834,0,1,84
7807,0,0,8
8572,0,0,31
1563,1,1,92
7801,0,0,3
4233,1,1,93
1979,1,1,88
1883,1,1,57
438,1,1,78
3746,0,0,32
3879,0,0,16
4030,1,1,99
7627,1,1,94
7940,0,0,6
2280,0,0,16
3410,0,1,70
5332,0,0,5
4574,0,0,6
373,1,1,100
4407,1,1,88
8513,0,0,14
2585,1,1,82
1332,1,1,93
5637,1,1,87
7362,0,0,13
5939,0,0,8
1784,0,0,16
8385,1,0,28
3720,0,0,8
3443,0,1,75
6219,0,1,40
7156,1,1,67
2860,0,1,94
8791,1,0,23
8713,0,0,15
2897,1,1,87
366,0,0,16
7874,0,0,12
7047,0,1,52
7497,1,0,9
3209,1,1,71
2653,1,1,96
5351,0,1,42
5556,0,0,9
1541,0,0,8
3019,1,1,99
322,0,0,3
2031,1,1,81
993,0,1,47
9203,1,1,89
7974,0,0,8
6397,0,0,4
8496,0,0,37
5651,1,1,46
8845,0,0,20
2184,1,0,19
110,1,1,100
4506,0,1,63
5701,0,0,7
1079,1,1,65
2226,1,1,47
3169,0,0,7
9199,0,1,41
2705,1,1,85
5769,1,1,98
4294,0,0,8
1164,1,0,37
5180,1,1,47
1450,1,1,98
7864,0,0,5
6850,0,1,57
5478,0,0,6
5358,0,1,47
5820,1,0,16
8689,0,0,16
4121,0,0,34
6872,1,1,51
8256,0,0,8
8983,0,0,27
7767,1,1,73
8314,1,1,91
8327,1,1,54
3944,1,1,85
1514,0,0,6
2313,0,1,50
8449,0,0,34
1451,0,0,22
2020,1,1,88
5832,1,1,96
4834,1,0,32
8456,0,0,4
4722,0,0,4
838,1,0,10
9161,0,0,8
2374,1,0,3
3715,1,1,53
5529,1,1,47
7508,1,0,17
6198,0,0,5
5882,1,1,100
8251,0,0,13
450,0,0,20
8398,0,1,87
1714,1,1,98
7361,1,0,25
8305,0,0,16
339,0,1,55
3869,0,0,7
5227,0,0,16
8439,0,0,8
7760,1,1,48
2670,0,1,42
1419,1,1,63
34,1,0,15
7135,0,0,16
7692,1,1,47
5924,0,0,34
5162,0,1,72
3535,1,1,97
1410,0,0,11
6271,0,0,16
2170,0,0,3
4342,1,1,48
889,1,1,47
9036,0,0,29
5775,1,0,16
6193,1,1,86
2244,1,1,49
5973,0,1,48
9084,1,1,98
3838,1,1,47
8742,1,0,3
5990,0,0,10
432,0,0,10
1654,0,0,17
178,1,1,96
4247,0,0,17
5354,1,0,6
8581,1,1,100
6604,0,0,9
1886,1,1,82
9139,0,0,33
1786,1,1,47
1590,0,0,8
6623,0,0,8
7228,1,1,81
2181,0,0,17
5795,1,1,99
4269,1,1,75
2069,1,1,93
8535,0,0,5
7773,1,1,63
1121,0,0,25
880,1,1,73
4196,0,1,43
8990,0,1,97
5722,0,0,12
7044,0,0,6
4339,0,0,10
1209,0,0,9
6854,0,1,47
3774,1,0,30
8365,0,0,4
1706,0,1,50
1158,1,1,64
2306,0,0,5
7573,0,0,6
8100,1,1,60
9153,0,1,91
7235,1,1,91
6593,1,1,81
4094,0,0,8
9182,0,1,41
3207,1,1,88
8088,1,1,94
1564,1,1,90
1782,0,0,16
8051,0,1,38
4899,1,0,13
3459,1,0,20
904,0,0,5
8933,1,1,88
8465,1,0,36
7758,0,0,4
4765,1,1,38
2080,1,1,47
1565,1,1,89
5059,0,0,4
8589,0,0,18
5407,0,0,16
3881,1,1,38
5234,0,0,30
6953,1,1,58
6589,0,0,12
5446,0,0,5
1113,0,0,27
2646,0,0,8
4284,1,1,53
6056,0,0,4
7747,0,0,13
5528,1,0,5
2300,0,0,8
6053,0,0,23
254,1,0,14
5396,0,0,25
8622,1,0,8
5168,0,0,23
5981,0,0,20
5965,1,0,16
3991,0,0,29
7645,0,0,8
5677,0,1,50
2589,1,1,66
4038,1,1,83
6414,0,1,54
303,0,1,43
5270,1,1,85
3460,0,0,25
5464,0,0,5
3102,0,0,6
3501,0,0,29
3773,0,0,5
1436,1,1,94
3332,1,1,87
6774,1,1,95
376,0,0,8
1869,1,1,96
4639,0,0,7
5064,0,0,16
1834,0,0,19
1658,0,0,16
755,0,0,11
7255,0,0,16
4580,1,1,47
8544,0,0,5
290,0,0,8
2236,0,0,10
4019,0,0,4
3543,1,1,98
2118,1,1,92
7544,0,0,8
5903,0,0,11
501,0,0,4
5070,0,1,43
5294,0,0,30
8745,1,1,96
1539,1,0,6
8182,0,0,2
1211,0,0,3
2996,0,0,13
7963,1,1,82
8420,1,0,31
672,0,1,39
6759,0,0,33
5426,1,1,75
6081,0,0,4
5710,0,0,6
5402,0,0,8
8046,0,0,5
1464,0,0,10
4322,0,1,59
8087,1,1,96
1192,0,0,5
7632,0,0,6
5840,1,1,92
2264,1,0,6
5687,1,1,98
421,0,0,11
505,1,0,26
9172,1,1,86
2623,1,1,87
1582,0,0,9
506,0,0,4
5226,0,0,5
2405,1,1,65
5666,1,1,69
3404,0,0,8
621,0,0,5
2126,1,1,96
8399,1,0,31
7744,0,1,41
4220,0,0,16
1773,1,1,64
7257,0,1,52
7203,0,0,16
4800,0,0,8
347,0,0,24
797,0,0,16
5982,0,0,6
2829,0,0,22
4751,0,0,28
1490,1,1,88
8607,0,0,18
7958,0,0,8
8923,1,1,47
312,0,0,25
4885,1,1,80
746,0,1,88
790,0,0,15
2476,0,0,16
2024,1,0,33
3981,1,0,2
2570,1,1,48
5422,0,0,16
8624,1,1,47
7718,0,0,15
5673,1,1,79
4919,1,1,47
5304,1,1,97
259,0,0,3
2163,1,1,100
8459,0,0,20
380,0,0,8
5151,0,0,4
1292,1,1,88
1912,0,0,8
7613,0,0,4
599,0,0,35
45,0,0,17
1444,1,1,92
1652,1,1,45
2699,0,0,8
1901,0,1,45
1893,0,0,11
1944,0,0,8
2406,0,0,5
8337,0,0,8
9023,0,0,36
3639,0,0,9
1966,0,0,6
3282,1,1,42
6711,1,1,77
4209,0,0,8
5033,0,1,45
1600,0,1,61
8454,0,0,11
1392,0,0,7
4740,1,1,40
3529,0,0,16
4362,0,1,53
4464,0,0,36
3693,1,1,69
426,1,0,21
5288,0,0,35
2853,1,1,95
410,0,0,8
8405,0,0,4
8296,1,1,76
8061,1,1,100
2486,1,1,100
4348,0,1,47
779,0,0,4
5540,1,1,43
4253,1,1,98
4382,1,1,88
210,1,0,26
2487,1,1,47
7238,1,1,85
5866,0,1,71
8683,0,0,6
3148,0,0,8
8348,1,0,28
1049,0,1,57
8357,0,0,7
5880,0,0,16
6657,0,0,13
2035,0,0,16
4417,0,0,16
8820,0,1,79
7799,0,0,12
1972,0,0,8
9146,0,1,41
2099,0,0,20
1499,0,0,6
1109,0,0,2
4819,1,0,16
4262,0,0,16
652,0,0,3
3803,1,0,24
2732,0,0,3
3034,1,1,95
5255,1,0,21
242,1,0,34
1795,0,0,3
1702,0,0,8
8963,1,1,54
5558,0,0,9
5896,1,1,82
4353,1,1,79
4871,0,1,55
1498,0,0,24
2756,1,1,47
3870,1,0,23
5531,0,1,68
2178,0,0,4
4603,1,0,8
6870,0,0,13
2076,0,0,29
9236,0,1,80
7272,0,1,67
705,0,0,3
1872,0,0,8
4074,0,1,47
3182,1,1,93
4127,0,0,8
4942,1,1,87
6669,0,0,2
8658,0,1,46
3946,1,0,29
5045,0,1,65
8566,1,0,22
3685,1,1,98
7181,0,1,44
565,1,0,31
6066,1,1,99
3784,0,0,18
4898,1,1,47
2987,0,0,13
640,0,0,12
3969,1,1,69
6111,0,0,7
2778,0,1,60
507,1,1,100
7814,1,1,96
1964,0,0,6
6836,0,0,6
1534,0,1,49
325,0,0,7
3272,1,1,100
6648,0,0,14
2338,1,1,89
5929,0,0,5
5816,0,0,35
4344,0,0,9
2237,0,0,8
6829,1,1,96
4824,0,1,73
5617,1,0,16
8931,0,1,48
4830,1,1,100
4273,0,0,12
864,1,0,16
6388,0,0,16
8455,0,0,10
9061,1,1,58
4994,0,1,80
2815,0,1,54
5411,1,0,35
4416,0,0,33
371,0,1,60
5669,0,1,89
4832,1,1,100
3884,0,0,8
2542,1,1,52
8145,0,0,28
4984,1,1,90
7310,0,0,19
5754,0,0,25
9038,0,0,19
2364,1,1,47
3213,0,1,46
5831,0,0,16
1360,1,1,83
911,0,1,39
8349,0,0,26
7584,0,0,10
5518,0,0,10
8830,0,0,18
3680,0,0,3
6844,1,1,83
6120,1,1,53
964,1,1,82
7113,1,1,92
1423,1,1,94
122,1,0,28
479,0,0,2
662,1,1,94
7234,1,1,100
4056,1,1,47
3567,0,0,10
6718,0,0,4
2988,1,1,80
3473,1,1,94
2776,0,0,3
439,0,0,22
1379,1,0,32
4694,0,0,8
3710,1,1,89
4656,0,0,9
8269,0,0,4
1443,0,0,35
5770,0,0,8
7068,0,0,16
1477,0,0,5
2039,0,0,18
1173,1,0,7
5812,1,1,95
6274,0,0,13
3852,1,1,89
4277,0,0,7
5376,1,1,85
4550,1,1,65
2893,0,1,48
2669,0,0,8
4439,0,0,5
279,0,0,16
4140,1,1,39
7910,1,1,38
3411,1,1,55
7675,0,1,48
5164,0,0,3
2571,1,1,86
5938,1,0,16
7678,0,0,16
3265,1,1,85
1101,0,0,8
568,1,1,46
1694,0,0,8
3497,1,1,92
4113,1,0,14
6695,0,0,33
8099,1,1,75
6086,0,0,4
577,0,0,15
59,0,0,15
3110,0,0,16
787,0,1,40
4077,0,0,11
8987,1,1,88
3524,1,1,47
6582,1,1,61
9092,0,1,59
5325,0,0,11
6101,1,1,74
4896,1,1,84
8546,0,0,4
3647,0,0,7
3393,0,0,9
4965,1,1,70
3231,0,0,3
5021,1,1,81
335,1,1,94
7552,1,1,96
4852,1,1,41
9114,0,0,16
8288,0,1,42
467,0,0,7
184,0,1,44
5809,0,0,20
6008,1,1,96
420,0,0,11
2350,0,0,6
553,1,1,42
1397,1,1,100
1384,0,0,13
3914,1,1,76
4275,1,0,37
1760,0,0,28
8661,0,0,10
297,0,0,3
443,1,1,39
777,1,0,34
8233,1,0,22
1119,0,0,8
6325,1,1,86
3994,0,0,22
6401,0,0,6
4128,0,0,13
1921,0,0,4
655,0,0,13
6613,0,0,8
2229,0,1,59
4828,0,0,27
2842,0,0,4
2537,0,0,4
3615,1,1,100
7139,0,0,13
8553,0,0,31
2540,0,0,17
5274,0,0,7
1194,0,0,35
5447,0,1,91
3367,1,1,48
2457,1,1,100
2578,1,1,47
8188,0,0,12
8408,1,0,27
9191,0,0,32
2758,0,0,8
7202,1,1,53
3533,1,0,12
558,0,0,31
320,1,1,78
3039,0,1,76
1371,1,1,57
3296,1,1,82
4347,1,1,48
907,1,0,27
5039,0,0,25
1433,1,1,43
3861,0,0,37
8201,0,1,38
6142,0,0,16
8124,0,1,57
7691,1,1,98
5153,0,0,8
3159,0,0,8
7318,0,0,14
926,0,0,37
5197,1,1,99
2470,0,0,4
4303,0,0,14
15,1,1,38
143,0,0,3
9125,0,1,59
2363,0,0,13
6997,1,1,47
7363,0,0,16
1161,0,0,5
7332,0,0,4
7173,0,1,47
4372,0,0,10
6006,0,0,8
1204,0,0,8
3548,0,0,3
1362,0,0,29
3916,0,0,8
1212,0,0,4
1876,0,0,6
7163,0,0,7
7358,0,0,17
4985,0,1,61
8021,1,0,26
5190,1,1,67
6030,0,0,7
1170,1,1,52
579,0,0,4
2182,1,0,3
6956,0,0,8
6957,0,0,14
7647,0,0,6
1833,0,0,3
7084,0,0,14
1825,0,0,6
7134,0,0,16
6805,1,0,28
1859,1,1,88
4098,0,0,3
3962,0,0,8
2685,1,1,87
5381,0,0,4
4101,0,0,4
4747,0,0,5
3121,0,0,23
387,0,0,17
6586,1,1,41
1032,1,1,89
6647,1,1,100
2488,0,0,8
5307,0,1,90
2286,1,1,69
3187,1,1,99
2629,1,1,93
4132,1,1,59
8611,0,1,58
3058,0,0,3
7781,0,0,3
931,0,0,6
6323,1,1,77
691,0,0,8
7603,0,0,17
1891,0,0,8
2268,1,1,82
8129,0,1,79
829,1,1,50
3498,1,1,100
6347,1,0,36
2081,1,1,47
7820,1,1,85
8721,0,1,42
44,0,0,13
3101,0,0,9
4438,1,1,91
3012,1,1,91
3787,0,0,8
4235,0,0,7
223,1,1,44
2965,0,0,10
1187,0,0,9
6395,1,1,88
837,0,0,7
7080,1,1,47
1683,1,1,93
7701,0,1,86
3059,0,0,19
3382,0,0,8
8189,1,1,97
7465,0,0,2
63,0,0,8
3092,0,0,8
617,1,1,45
5264,0,0,8
6696,0,0,15
3502,0,0,5
227,0,1,41
5292,1,1,99
7293,0,1,43
7136,1,1,40
8315,0,0,8
3195,0,1,41
9230,0,1,78
3945,1,1,88
4631,0,0,28
969,1,0,5
1805,1,1,38
2447,0,0,31
925,1,1,47
7453,1,1,97
3733,0,0,19
5454,0,0,16
8966,1,1,90
7507,0,0,30
2851,1,1,87
8235,1,0,4
4375,1,1,98
1860,1,1,88
5457,0,0,16
8214,0,0,8
6608,1,1,94
7949,1,0,36
4350,0,0,8
252,0,0,25
8887,0,1,39
6687,1,1,90
3626,0,0,23
1789,0,0,8
7106,0,0,8
2059,0,1,68
5398,0,0,22
3047,0,0,22
3880,0,0,8
6138,1,1,72
1902,0,0,13
2750,0,0,16
3334,0,0,3
2119,1,1,65
7616,0,0,16
4709,0,0,2
6796,0,0,8
8727,0,0,23
2689,1,0,35
6147,1,0,21
4755,0,1,44
1923,1,1,96
6129,1,1,70
75,1,1,41
2345,1,1,63
2351,0,1,38
4634,1,1,100
430,1,1,58
5257,0,0,16
4604,1,1,80
952,0,1,45
5696,0,0,16
9164,1,1,86
5500,0,0,9
3844,0,1,64
9112,0,0,2
7018,1,1,89
3742,0,0,16
6463,0,0,2
240,1,0,10
783,0,0,6
1354,1,1,100
3066,0,0,7
4814,0,0,34
977,1,1,53
809,0,1,72
2168,0,0,27
8055,1,1,99
4844,1,1,98
1599,0,0,18
2941,0,0,16
6460,1,1,86
8390,0,0,8
7731,0,0,8
684,0,0,34
5296,0,0,11
6485,0,0,8
1620,0,0,13
4341,1,0,37
1482,0,0,11
2146,0,0,11
1801,0,0,10
2095,1,1,79
8054,0,1,98
4427,0,0,7
1357,0,0,29
6821,0,0,5
5117,0,0,24
6922,0,0,6
4381,0,0,6
4405,0,0,8
6946,1,1,40
5456,1,0,6
6927,0,0,32
6137,0,1,79
4601,0,1,85
1609,1,1,55
4048,1,1,83
494,1,1,100
4075,0,0,22
3319,1,1,51
4012,1,1,45
2017,0,0,8
6622,0,1,47
2328,0,1,47
29,1,1,75
6017,1,1,74
4556,1,1,98
9054,1,1,78
3118,0,1,67
1092,1,1,57
3246,1,1,86
124,0,1,55
5436,1,1,47
7541,0,0,19
8033,0,1,44
6301,1,1,73
9085,0,0,4
2298,0,0,16
6562,0,0,26
1553,1,1,43
8452,1,0,20
3341,0,0,8
598,1,1,96
2123,0,0,16
7824,0,0,7
1416,1,1,88
5577,1,1,93
4104,0,0,8
6005,1,1,80
5306,0,1,75
5963,0,0,8
8924,0,1,42
4972,0,0,25
2197,1,1,77
5120,1,1,77
3605,0,0,8
3362,0,1,39
5792,1,1,99
8819,1,1,62
725,1,1,80
4159,0,0,4
978,0,1,49
808,1,1,60
4280,0,0,6
7066,0,0,4
958,1,0,11
4429,1,0,34
5452,0,0,12
4907,0,0,13
810,1,1,96
5014,0,0,20
9040,1,0,8
834,0,0,34
4354,0,0,6
2423,0,0,10
6084,0,0,8
6859,1,0,10
1235,0,0,8
1225,0,0,8
6743,1,1,69
6781,0,1,50
4471,0,0,3
4013,1,1,100
4299,0,0,12
3217,1,1,47
8263,0,0,9
287,0,0,12
7520,1,1,71
2966,0,0,8
3164,0,0,4
5074,0,1,76
6594,0,0,8
7097,0,0,14
1657,0,0,26
1975,0,0,25
2397,1,1,90
452,1,0,37
6795,0,0,13
7550,0,0,16
4651,1,0,22
5876,0,0,3
7194,0,0,13
2619,0,0,18
422,1,0,25
9117,0,1,59
1220,0,0,5
2929,0,0,15
657,1,1,98
3301,0,0,5
4932,0,1,43
2845,0,0,7
3023,0,0,4
6333,0,0,8
8903,0,1,64
1001,0,0,22
102,0,0,20
2418,1,1,81
8299,0,0,31
4461,0,1,92
6436,0,0,8
7153,0,0,14
1580,0,0,6
6842,1,1,55
2248,0,0,12
2206,0,1,40
170,0,1,66
7630,0,0,17
135,1,1,98
757,0,0,4
5794,1,1,99
1310,1,1,83
1217,0,0,11
2284,0,1,56
5635,0,0,8
2905,0,0,23
8402,1,1,51
3892,0,0,6
5883,0,0,5
1935,0,0,4
3980,0,0,7
1743,0,0,11
7845,1,1,75
807,1,1,92
2045,0,0,24
5818,1,1,99
462,0,0,14
2927,0,0,8
1956,1,0,16
2445,0,0,2
4961,0,1,42
4953,0,0,4
5193,0,0,19
3235,0,0,28
799,1,1,86
2402,1,1,83
4842,0,0,16
1073,0,0,5
4649,0,1,41
5893,0,0,12
144,0,0,3
8506,0,0,21
1340,1,1,58
9179,0,0,5
7514,0,1,47
2091,0,0,15
6403,0,1,38
8895,1,1,87
9198,0,1,46
5743,0,1,73
6121,0,0,8
6572,0,0,27
8341,0,0,16
4975,0,0,17
5781,0,0,6
1003,1,0,16
4581,1,1,76
8875,0,0,2
7537,1,1,99
4421,1,1,90
3470,0,0,12
4480,1,1,98
555,0,0,15
8743,1,1,87
4486,0,0,26
8436,0,0,16
1485,0,0,20
7382,0,0,9
1272,0,0,5
5009,1,1,70
1411,1,1,44
8644,0,0,3
753,0,0,4
1471,0,1,40
4539,1,1,47
8069,0,1,100
5048,0,0,9
7031,0,0,8
6098,0,0,17
3076,1,1,47
3886,0,0,16
5935,0,0,12
8639,0,0,17
3288,1,1,95
6277,1,1,94
6418,1,1,54
4338,1,1,84
981,0,0,10
3780,0,0,9
8463,0,0,8
4323,0,1,50
2722,1,1,95
8645,1,1,56
1268,0,0,14
2462,0,0,8
4937,0,1,57
268,1,0,27
5323,0,0,5
3580,0,0,5
4613,1,1,97
654,0,0,13
4518,0,0,27
8677,1,1,94
8597,1,1,98
3597,0,0,8
2413,0,0,7
6314,0,1,92
2821,0,0,7
428,0,0,7
589,0,0,17
495,0,0,4
5638,1,1,94
4436,1,1,89
5634,0,0,8
5749,0,1,45
6474,0,0,8
6629,1,1,91
528,0,0,6
1808,0,0,7
5328,0,0,8
5520,0,0,6
2055,1,1,75
1231,0,0,4
2028,0,0,16
8388,0,0,5
677,0,0,7
7484,0,0,22
8413,1,1,85
8986,1,1,97
8632,0,1,47
6153,0,1,45
2741,0,0,8
8025,1,1,53
6972,0,1,41
8562,1,1,56
4609,0,0,16
2432,0,0,12
7365,0,0,16
7440,0,0,16
551,1,1,49
5272,1,0,22
7023,0,0,8
896,1,0,6
1611,1,0,14
4395,1,0,16
6969,0,0,4
8467,0,0,16
1270,1,1,39
673,1,1,43
7568,0,0,18
7292,0,0,25
2004,1,0,27
