country,child_mort,income,life_expec,gdpp,dev_level,need_score
Haiti,208.0,1500,32.1,662,Underdeveloped,0.8237889146360885
Nigeria,130.0,5150,60.5,2330,Underdeveloped,0.709145210489993
Sierra Leone,160.0,1220,55.0,399,Underdeveloped,0.699800989223337
Central African Republic,149.0,888,47.5,446,Underdeveloped,0.685575965684557
Chad,150.0,1930,56.5,897,Underdeveloped,0.6670155041142432
Mali,137.0,1870,59.5,708,Underdeveloped,0.6361858196103414
"Congo, Dem. Rep.",116.0,609,57.5,334,Underdeveloped,0.6246827711843712
Niger,123.0,814,58.8,348,Underdeveloped,0.6152747771301164
Angola,119.0,5900,60.1,3530,Underdeveloped,0.6107688116472898
Burkina Faso,116.0,1430,57.9,575,Underdeveloped,0.608179502627807
Guinea-Bissau,114.0,1390,55.6,547,Underdeveloped,0.6067866992090036
Guinea,109.0,1190,58.0,648,Underdeveloped,0.6056330409831715
Lesotho,99.7,2380,46.5,1170,Underdeveloped,0.6031668242554546
Cote d'Ivoire,111.0,2690,56.3,1220,Underdeveloped,0.5989342479163348
Mozambique,101.0,918,54.5,419,Underdeveloped,0.5932528410362585
Cameroon,108.0,2660,57.3,1310,Underdeveloped,0.5881537010670489
Benin,111.0,1820,61.8,758,Underdeveloped,0.5836254929925146
Malawi,90.5,1030,53.1,459,Underdeveloped,0.5829668282369803
Burundi,93.6,764,57.7,231,Underdeveloped,0.5780113424005946
Afghanistan,90.2,1610,56.2,553,Underdeveloped,0.5709796436269045
Zambia,83.1,3280,52.0,1460,Underdeveloped,0.5691221664012316
Mauritania,97.4,3320,68.2,1200,Underdeveloped,0.5587935796039709
Togo,90.3,1210,58.7,488,Underdeveloped,0.5581579102033232
Liberia,89.3,700,60.8,327,Underdeveloped,0.5568284207941816
Uganda,81.0,1540,56.8,595,Underdeveloped,0.555312983649201
Pakistan,92.1,4280,65.3,1040,Underdeveloped,0.5469600240749588
Comoros,88.2,1410,65.9,769,Underdeveloped,0.5392056809470722
Ghana,74.7,3060,62.2,1310,Underdeveloped,0.5334492984286245
Tanzania,71.9,2090,59.3,702,Underdeveloped,0.5312928070021766
Sudan,76.7,3370,66.3,1480,Underdeveloped,0.5289709644051601
Lao,78.9,3980,63.8,1140,Underdeveloped,0.527409439586983
Gambia,80.3,1660,65.5,562,Underdeveloped,0.5267906282582152
