Model,Test Accuracy,F1 Score,CV Accuracy
Logistic Regression,1.0,1.0,0.9579322638146168
Naive Bayes,1.0,1.0,0.9579322638146168
KNN,1.0,1.0,0.9639928698752229
Random Forest,1.0,1.0,0.9577540106951872
Gradient Boosting,1.0,1.0,0.9516934046345812
LightGBM,1.0,1.0,0.9516934046345812
Stacking,1.0,1.0,0.9759358288770054
SVM,0.9705882352941176,0.9698771816418874,0.9638146167557933
AdaBoost,0.9705882352941176,0.9698771816418874,0.9636363636363636
XGBoost,0.9705882352941176,0.9702344095532949,0.9700534759358289
Decision Tree,0.9411764705882353,0.9409052419888333,0.927807486631016
